date,firstDose.daily.total
4/28/2022,3666
4/29/2022,4744
4/30/2022,3608
5/1/2022,1733
5/2/2022,1667
5/3/2022,3161
5/4/2022,3174
5/5/2022,2982
5/6/2022,3675
5/7/2022,3123
5/8/2022,1335
5/9/2022,1421
5/10/2022,3059
5/11/2022,2123
5/12/2022,1608
5/13/2022,2415
5/14/2022,3026
5/15/2022,1116
5/16/2022,2540
5/17/2022,2548
5/18/2022,2283
5/19/2022,2245
5/20/2022,2936
5/21/2022,2357
5/22/2022,1251
5/23/2022,2536
5/24/2022,2060
5/25/2022,1853
5/26/2022,1701
5/27/2022,2231
5/28/2022,1963
5/29/2022,1048
5/30/2022,1955
5/31/2022,1825
6/1/2022,1969
6/2/2022,2640
6/3/2022,1415
6/4/2022,2111
6/5/2022,1123
6/6/2022,1798
6/7/2022,1356
6/8/2022,1240
6/9/2022,1222
6/10/2022,2216
6/11/2022,2145
6/12/2022,930
6/13/2022,1714
6/14/2022,1405
6/15/2022,1357
6/16/2022,1533
6/17/2022,1969
6/18/2022,1716
6/19/2022,669
6/20/2022,1457
6/21/2022,1108
6/22/2022,926
6/23/2022,1168
6/24/2022,1351
6/25/2022,1356
6/26/2022,512
6/27/2022,966
6/28/2022,925
6/29/2022,795
6/30/2022,1391
7/1/2022,532
7/2/2022,12
7/3/2022,536
7/4/2022,995
7/5/2022,787
7/6/2022,753
7/7/2022,773
7/8/2022,1355
7/9/2022,1119
7/10/2022,404
7/11/2022,939
7/12/2022,710
7/13/2022,723
7/14/2022,760
7/15/2022,1212
7/16/2022,1166
7/17/2022,434
7/18/2022,812
7/19/2022,775
7/20/2022,682
7/21/2022,665
7/22/2022,1142
7/23/2022,873
7/24/2022,382
7/25/2022,738
7/26/2022,690
7/27/2022,682
7/28/2022,724
7/29/2022,1010
7/30/2022,856
7/31/2022,372
8/1/2022,812
8/2/2022,767
8/3/2022,722
8/4/2022,952
8/5/2022,1405
8/6/2022,1536
8/7/2022,815
8/8/2022,1335
8/9/2022,1071
8/10/2022,919
8/11/2022,1010
8/12/2022,1424
8/13/2022,1604
8/14/2022,1008
8/15/2022,1842
8/16/2022,2185
8/17/2022,1731
8/18/2022,1874
8/19/2022,2072
8/20/2022,2263
8/21/2022,1365
8/22/2022,2002
8/23/2022,1787
8/24/2022,1646
8/25/2022,921
8/26/2022,2106
8/27/2022,2408
8/28/2022,1422
8/29/2022,2278
8/30/2022,2111
8/31/2022,1639
9/1/2022,1698
9/2/2022,2532
9/3/2022,2750
9/4/2022,1207
9/5/2022,1735
